sample,dsc,nsd,gt_area,pred_area,missing_pred
1794.png,0.3268408551068884,0.3694854283920256,693,3517,False
1795.png,0.4880132267842381,0.5292169019733196,1827,5431,False
1796.png,0.8778021978021978,0.9469764045286028,2006,2544,False
1797.png,0.7379335001787629,0.7898128404524514,2081,3513,False
1798.png,0.5608949109815661,0.6065310417158041,1783,4564,False
1799.png,0.849441873128233,0.9300769450435699,1601,2072,False
18.png,0.7366497461928934,0.7730099016863063,1937,2988,False
180.png,0.9617370581226002,0.9888695081316247,3787,3766,False
1800.png,0.0,0.0,1043,7808,False
1801.png,0.2848816029143898,0.31776352426139576,845,4645,False
1802.png,0.20246575342465753,0.22519371574665883,791,6509,False
1803.png,0.10743801652892562,0.12860572813755097,546,9618,False
1804.png,0.10137938768644163,0.12129354444208501,452,8465,False
1805.png,0.055571200600769734,0.06873992717465847,613,20693,False
1806.png,0.07704371691825132,0.09898323258660979,1187,9015,False
1807.png,0.8589221556886227,0.9191584065082128,1836,2339,False
1808.png,0.6457204767063922,0.7172458850527667,1490,3125,False
1809.png,0.7533083152281256,0.8157373222335098,1968,3095,False
181.png,0.9779372954713396,0.9998871634419437,4740,4733,False
1810.png,0.6578947368421053,0.7126316641958224,1697,3319,False
1811.png,0.8728323699421965,0.9380959696395296,1543,1917,False
1812.png,0.4765560734850562,0.5390038002261772,1194,2453,False
1813.png,0.660105980317941,0.7388586254782524,922,1720,False
1814.png,0.6867783985102421,0.7479836733272593,928,1757,False
1815.png,0.8484848484848485,0.9141303203991266,1620,2109,False
1816.png,0.9013441541973117,0.9614774191717892,1825,2118,False
1817.png,0.6233867813844349,0.6722668581223433,1610,3504,False
1818.png,0.5418654383944728,0.5782960728227723,1691,4388,False
1819.png,0.40644583706356313,0.4447142536758426,2036,4666,False
182.png,0.9619734999461381,0.9958553867260136,4694,4589,False
1820.png,0.7226617031177291,0.7720735369645748,1977,2321,False
1821.png,0.29618492764517945,0.34391231190138444,1083,4238,False
1822.png,0.03824362606232295,0.07171256619649337,2383,4677,False
1823.png,0.8428039124359572,0.9010367079182027,3627,4961,False
1824.png,0.87478999901176,0.9272830123415972,4495,5624,False
1825.png,0.9582350959919165,0.9932081077049977,5851,6025,False
1826.png,0.8892679900744417,0.9286134068623084,5971,6925,False
1827.png,0.9465907341850085,0.9769976953796035,6397,6597,False
1828.png,0.9051443870720979,0.948573890713444,4848,5610,False
1829.png,0.8521303258145363,0.9056271452703173,3866,4513,False
183.png,0.9293369055592766,0.9690783702583843,2997,2975,False
1830.png,0.5689839572192513,0.6130105984735873,1894,4651,False
1831.png,0.7423590185105468,0.7642941611918062,3585,5707,False
1832.png,0.8170193504583003,0.8484694325078378,3639,5198,False
1833.png,0.7596082973570601,0.7856772870737055,3662,5835,False
1834.png,0.719718676738734,0.7565283561702564,2772,4906,False
1835.png,0.7601604744461887,0.811576357761563,2216,3517,False
1836.png,0.8928800513149455,0.9486840934500146,2785,3451,False
1837.png,0.9192231916690121,0.9655337600976401,3277,3829,False
1838.png,0.8722580645161291,0.9207929440223032,3048,3927,False
1839.png,0.8832722361566661,0.9536364851368794,2289,2894,False
184.png,0.21445612225159585,0.2376039682852619,1663,13846,False
1840.png,0.4610995850622407,0.5117250331438495,920,2936,False
1841.png,0.0,0.0,996,10150,False
1842.png,0.0,0.0,3908,4415,False
1843.png,0.49106225600986236,0.564038692726938,1677,3190,False
1844.png,0.7585414872236578,0.8032908147089991,2732,4234,False
1845.png,0.6931581828133552,0.7314472068292843,3198,5937,False
1846.png,0.8132566585956417,0.8652708670991682,3251,3357,False
1847.png,0.7272104180945853,0.7925132339158483,3714,2122,False
1848.png,0.4946030878535319,0.5674284871225097,5183,2136,False
1849.png,0.42000717960990785,0.4627576016166633,2031,6326,False
185.png,0.8178993163455562,0.8691649549452248,2040,2787,False
1850.png,0.4914043903729172,0.5250698227057418,3191,8152,False
1851.png,0.3405832575704595,0.36935414761588936,2588,11711,False
1852.png,0.866225165562914,0.9622344648357438,810,700,False
1853.png,0.18468871015787905,0.20523028218263367,4631,25582,False
1854.png,0.35653798256537983,0.38570553505673716,6786,9274,False
1855.png,0.5325117193406925,0.5754474133279374,12206,14246,False
1856.png,0.08602049890017316,0.1128689138704688,8572,12795,False
1857.png,0.8168065307986527,0.8566106514141192,10325,7192,False
1858.png,0.8240683708038189,0.8581474674374687,13874,12102,False
1859.png,0.7237132213183304,0.7540768128281842,12621,13685,False
186.png,0.07317987553422808,0.08762854934264439,498,12839,False
1860.png,0.3623542175210198,0.4178620000687259,7945,3116,False
1861.png,0.7648180854821618,0.8029285644643311,6504,7651,False
1862.png,0.3022432113341204,0.34444895515276686,506,2035,False
1863.png,0.6693405685973811,0.748246145094472,4765,3712,False
1864.png,0.6657439446366782,0.6989540782127298,10143,5752,False
1865.png,0.5914803329525053,0.6232294297796084,12917,5464,False
1866.png,0.49068048968787914,0.5260272637043517,13685,4449,False
1867.png,0.879079254079254,0.9447116284181691,3847,3017,False
1868.png,0.8545931758530184,0.9214861410450714,3273,2442,False
1869.png,0.18255317194175202,0.2006294812617761,1987,19782,False
187.png,0.6661346951803383,0.7048643925503225,2158,4108,False
1870.png,0.6760317767874443,0.7234582368282363,4733,5589,False
1871.png,0.8597895851253887,0.9017024654701868,7419,7694,False
1872.png,0.9120950196977715,0.9508295198113313,8950,8057,False
1873.png,0.8496573070970594,0.8909467075049102,10390,7702,False
1874.png,0.8951272181015867,0.925263460804665,10987,10315,False
1875.png,0.9037073652990608,0.9350280098129882,11035,9195,False
1876.png,0.8365517656259399,0.8763538865998478,9662,6961,False
1877.png,0.5184623166413759,0.5381570660831185,8635,22997,False
1878.png,0.140268536121673,0.1657585138045241,4425,29239,False
1879.png,0.5774695534506089,0.6195564458789987,2843,3069,False
188.png,0.9325699745547074,0.9595575882310639,4047,3813,False
1880.png,0.8816986855409504,0.9558147004621027,1073,905,False
1881.png,0.14442261966297942,0.16286832565534007,1397,17949,False
1882.png,0.5395360439012222,0.5839773881116557,2366,5652,False
1883.png,0.9502762430939227,0.9942493651442453,3192,2962,False
1884.png,0.8570143884892086,0.8969863589845264,3175,3497,False
1885.png,0.2542897327707454,0.2904349193355644,904,6206,False
1886.png,0.14659578818237579,0.1674109361618584,765,9017,False
1887.png,0.26324488908220967,0.30547133981974456,1513,9982,False
1888.png,0.16252983293556086,0.19033370303926833,1362,15398,False
1889.png,0.5166386554621849,0.5554385123294209,10741,7109,False
189.png,0.8721372276309689,0.904731237974346,4877,5908,False
1890.png,0.4866961111709577,0.5113407354689312,9115,28017,False
1891.png,0.3114125148600454,0.33755133724591535,9553,27459,False
1892.png,0.28394811054709534,0.30131864925755236,6563,37762,False
1893.png,0.5384615384615384,0.5994125655014221,2756,4758,False
1894.png,0.16527574151347693,0.18366634234311882,2931,32537,False
1895.png,0.8381767515923567,0.8866421309554923,4992,5056,False
1896.png,0.6768141592920354,0.7148320737032972,4415,4060,False
1897.png,0.5241161188297753,0.5572899388932477,2552,6301,False
1898.png,0.5367258761401824,0.5809473642969422,1766,4483,False
1899.png,0.0,0.0,731,20061,False
19.png,0.665390138822403,0.7611554651200004,1031,1058,False
190.png,0.9613300952736783,0.9953907166351754,5355,5351,False
1900.png,0.5275806967082135,0.5598850661588551,4144,11501,False
1901.png,0.9654564681001058,0.995636571199058,5676,5672,False
1902.png,0.7297913222217257,0.7545820895751779,8790,13589,False
1903.png,0.8642977646562632,0.8906016309944325,8616,10352,False
1904.png,0.9627126156573771,0.9779475964474718,8925,9124,False
1905.png,0.7891568991265783,0.8177140506879247,8736,13361,False
1906.png,0.8581019224900824,0.8885480279086467,7592,8793,False
1907.png,0.6719848353210647,0.7091932013432409,5299,7362,False
1908.png,0.0,0.0,3275,2408,False
1909.png,0.39205653021442494,0.4332329771149988,1609,6599,False
191.png,0.7924259934216374,0.8344676113853928,4746,6503,False
1910.png,0.29876946906462437,0.32092287433363037,1901,9720,False
1911.png,0.8927789934354485,0.9733479907818599,942,886,False
1912.png,0.20796311931277556,0.21866423196973167,7759,66860,False
1913.png,0.0,0.0,4322,7838,False
1914.png,0.0,0.0,3194,5297,False
1915.png,0.0,0.0,4692,4897,False
1916.png,0.0,0.0,12075,10672,False
1917.png,0.789153292750415,0.8355594771473511,6827,5822,False
1918.png,0.809966530308665,0.8401272818857776,12754,16825,False
1919.png,0.7262180974477959,0.7815477781780988,11540,7424,False
192.png,0.9259945504087194,0.9734996179952724,4319,4856,False
1920.png,0.8450218207652491,0.8758823942632702,8827,10879,False
1921.png,0.0,0.0,3095,6986,False
1922.png,0.0003610597102495825,0.005667413392208705,4393,17764,False
1923.png,0.15572117492327928,0.19720915034804096,8352,3053,False
1924.png,0.48161981521525454,0.5336433668940512,6278,3896,False
1925.png,0.1921079958463136,0.21810395079036488,4542,14718,False
1926.png,0.04348585908601054,0.05255131040751929,3560,65106,False
1927.png,0.017305100221748772,0.034994072152855535,2442,20557,False
1928.png,0.013458473525765893,0.022424430426852306,1931,37598,False
1929.png,0.0,0.0,3883,6083,False
193.png,0.9311195331769235,0.962903970947779,7911,8712,False
1930.png,0.012796353915596652,0.02936139946637692,13232,9587,False
1931.png,0.0010252029047415634,0.006224955467128604,2831,8874,False
1932.png,0.07663817663817664,0.09322725020272458,3152,45988,False
1933.png,0.050254323499491355,0.06473049504001573,5731,13929,False
1934.png,0.08864142538975502,0.110119496256802,3790,18660,False
1935.png,0.3058362039127783,0.3171984851396403,9381,51292,False
1936.png,0.024192212096106048,0.043125964158968105,10947,1123,False
1937.png,0.24800539386447915,0.2707086518385342,15835,19761,False
1938.png,0.19874535501658208,0.22455380093608918,18742,6285,False
1939.png,0.15412928456406716,0.19281902419194424,9867,3174,False
194.png,0.8691114976131443,0.8928497408898358,11761,15262,False
1940.png,0.8828936254782134,0.9165816822600763,10992,9135,False
1941.png,0.5129934677648396,0.54153022686571,9349,18819,False
1942.png,0.5101163131658685,0.5483272948561035,8332,12130,False
1943.png,0.14499719618681406,0.1995793582405243,9391,3092,False
1944.png,0.214294963097242,0.2286043359713877,5824,40514,False
1945.png,0.4905556321522129,0.5310005719795402,7272,7234,False
1946.png,0.6476875859879352,0.6905327069947869,6376,3073,False
1947.png,0.3524009574520053,0.37475431127317493,4935,15536,False
1948.png,0.2866255711963689,0.30284895152122937,4719,27888,False
1949.png,0.5948049101271372,0.6207199762857846,5589,12659,False
195.png,0.9371480855855856,0.9559036039786427,13811,14605,False
1950.png,0.7540263543191801,0.8191590386526016,1084,1648,False
1951.png,0.8184693232131562,0.8620706509566174,2723,3601,False
1952.png,0.9224165683013199,0.9661668730955713,4995,4324,False
1953.png,0.8309116349155097,0.8740519823554077,4139,5152,False
1954.png,0.4839809134287662,0.5271907445862635,1783,5552,False
